coord_x,coord_y
-2.2798645,-0.08765037
0.112599045,-0.19731358
0.9905819,0.12331818
0.05203125,0.22487217
0.03315501,2.3742461
0.6441554,-1.7538882
-0.94346803,0.47399697
1.1918631,1.235679
0.058491673,1.9207656
0.3566953,0.72413343
-0.7190926,2.5044134
-2.7642143,-0.06490716
-0.3416104,-0.23165135
0.06276742,-2.3933578
-0.73020554,-1.0856669
-2.3789601,1.4404135
-0.43057537,0.9006642
1.8832563,-3.4520652
-1.4395195,1.3254871
0.41430265,-0.49492973
1.3121368,1.3898326
-1.3884131,-1.8258101
-0.26013282,-0.37471947
0.016744934,1.6271758
3.352076,-0.3893957
-0.6845757,0.5734812
-0.17974938,-0.35841423
1.3726983,1.53542
-1.75445,-0.0612137
-0.14275427,1.9327061
0.90530366,0.5778022
0.07095704,1.9810491
-2.7059793,-0.39932215
1.3587888,-0.52934206
1.5497894,0.25794375
-1.2569863,0.4758592
0.5048125,-0.60911363
-0.24897589,-0.61499685
0.6223855,-0.9920165
0.61969036,-0.9960341
-0.8321237,-0.2052922
-0.30233496,-1.0890144
-1.4028571,-0.36797932
-2.3633492,-2.1741254
0.3574818,1.1139177
-0.08888346,-1.1385034
-0.95761037,-1.0689336
-0.2122739,0.2095908
-0.95487463,0.36635315
1.9395027,2.555632
-2.5413752,1.4860612
-0.8647364,-0.18224482
0.81780005,0.27456185
-1.5675502,1.7291005
-1.07002,0.3465343
0.0044256896,-0.06896637
1.3984485,-0.6694184
-1.3522371,-1.6818935
-1.6009052,1.3370665
0.20013583,0.21637908
1.6341231,-0.5610713
0.8670117,0.07668093
0.46410105,0.05381175
1.4620776,1.4491131
-1.1721275,0.65683764
-0.6462141,0.69899637
0.18678832,-0.3888461
0.17532846,-0.6719432
-0.9261531,0.060527034
1.1741867,2.270491
0.9171179,0.15404606
-1.947478,0.6431104
-2.8098767,-1.0286165
0.8860245,2.7045941
-1.6284132,1.7482358
-0.24439329,0.62118435
-0.082734525,-1.1119704
1.2055098,-0.031126602
0.5614083,-1.4707067
0.8170618,-0.8807314
-1.4588016,0.7694702
-1.0163788,-0.39028487
-0.5443394,0.2691417
-0.9057988,-0.8160515
-0.38589677,2.2329967
2.6839976,0.65762734
0.7332228,0.40113455
-0.34401804,-0.07562297
-0.24961999,0.47228342
-1.645505,-0.4212997
1.2121884,-1.0660524
0.66511595,0.5766718
-1.506166,-1.215283
1.4974396,0.48840687
2.6048858,-0.53396666
1.4103857,0.40673816
-0.30166128,1.5321771
-1.3489635,0.3002444
-1.1331737,0.54086035
2.150274,1.0384728
1.5224371,-0.3694812
1.0358709,0.31668252
-0.18789425,-0.34470648
-0.50507045,1.4864569
-0.81058013,0.47041377
1.7303232,-1.3583596
-2.4113238,-0.8110456
-0.39748025,0.88737464
1.3601693,-0.64242756
1.4191961,0.8788138
-0.70523673,-0.37331307
1.2392747,-0.5133047
-4.098691,-0.38601685
-0.03733769,-1.2185688
-0.7774647,-0.14993384
0.9289839,-0.57571036
0.0032838583,-0.3063922
0.79511464,-1.6136534
0.4465878,-1.3540301
-1.0663645,-1.4362787
-0.5781359,-2.4037843
-0.85039407,2.484757
0.7443006,-1.8827081
2.1259673,-2.2619379
0.58635485,-1.2171584
0.98489445,-2.3421242
-2.231926,0.27050367
-1.3075846,1.3534355
-2.627606,1.2319753
2.0567572,-1.5539067
-0.40218213,-0.5383315
-0.4491304,-0.5525432
1.4975415,-0.47350723
-0.7171376,0.7151519
0.6589825,1.7428069
1.8687099,-0.30753726
0.89481175,-1.1969075
0.9720174,-0.739478
-0.98733026,-1.3368274
0.88848966,1.2642213
-0.3917544,1.8310308
-1.070385,-1.010487
-0.07570077,1.8938843
0.7908616,0.22918823
-0.3645701,1.3955234
0.49924618,-0.2764721
-0.010883689,0.88812524
-0.27226818,-1.1026495
-0.050497085,-0.83179325
2.8912795,1.7669526
-1.163885,0.5519404
0.8705747,-2.0695825
-0.6818619,0.8449714
1.900724,-0.029453766
1.1450894,-0.357886
-2.2910762,0.85249126
-0.049237266,0.11111052
-1.2524507,-0.12552989
3.2112615,-1.3027161
1.7802405,-0.5944299
-0.09658681,-0.6788108
2.0831723,0.18293227
-2.4722838,0.84548986
-0.71608573,-2.302393
-2.1266966,-1.0016527
-0.37762916,-1.141072
-0.27725706,0.5943725
0.19382007,-0.60218155
1.5705731,-0.02801738
0.0058051646,2.462902
-0.8506267,0.5378083
-0.8000938,-0.10477112
0.82849145,-2.3107917
-0.73839986,-1.1095215
2.6098247,-1.9861548
-0.15213567,-0.99011326
0.90501416,1.2052361
1.0376176,1.6530771
-1.4211174,0.8459775
0.94404197,-0.27923524
-0.40689513,0.13857043
-0.22340408,1.9445457
1.187068,1.4313407
-0.0019043684,-2.8036127
0.72282225,0.35336903
-1.1799406,0.4223553
-0.45886022,-0.4525667
0.33328676,0.080262326
-1.67556,-0.3691074
-0.5682511,0.1420987
-0.49256504,-1.6973828
2.4075217,1.9002216
1.0581112,0.777475
0.08149913,0.916121
-0.3849611,-1.281798
-0.23487002,1.9094347
1.453011,1.9909108
-0.93335944,0.5638253
-0.17543958,-1.6020108
1.0472898,-1.7855957
1.5880107,0.3571811
-0.74599826,0.5805844
-1.8808329,-0.12307454
1.9521906,-1.6627154
2.4097195,-0.06422508
2.7669847,0.36672992
-0.7247039,-0.4939892
-1.0751553,-0.7282806
0.31344423,-0.5986866
-1.0156128,-1.6474178
0.48075056,0.8812355
0.20560093,-2.8301547
-0.5855139,-0.0008023679
0.404741,1.6131244
-0.54831076,0.4245485
-0.7964912,0.21296206
-0.64601254,1.3439322
-2.0273721,-1.4992219
-0.5437536,-0.57285905
-0.5532395,1.863352
-0.40601227,-0.54035896
-0.2597242,0.38801864
-1.7882661,1.7521168
-0.17314562,-1.6766448
-1.0015279,0.9596171
0.529045,0.60191363
-1.7509062,0.7106404
-0.43217045,-1.7954981
0.41365764,0.78050804
0.81468964,0.5593196
1.5251099,-0.8050971
0.31136185,-1.7454888
-1.4417516,0.4004701
-0.7582684,0.09970322
-0.951236,0.28509882
0.92385256,2.2829921
1.6446803,-0.52942514
